"time","weeks","plague_deaths"
1665.11780821918,0,1
1665.13698630137,1,6
1665.3095890411,2,2
1665.32876712329,3,12
1665.34794520548,4,9
1665.36712328767,5,57
1665.38630136986,6,32
1665.40547945205,7,101
1665.42465753425,8,145
1665.44383561644,9,370
1665.46301369863,10,840
1665.48219178082,11,1275
1665.50136986301,12,2072
1665.52054794521,13,3545
1665.5397260274,14,5439
1665.55890410959,15,8377
1665.57808219178,16,13068
1665.59726027397,17,14877
1665.61643835616,18,20782
1665.63561643836,19,27517
1665.65479452055,20,31524
1665.67397260274,21,43612
1665.69315068493,22,48553
1665.71232876712,23,46481
1665.73150684932,24,48522
1665.75068493151,25,38198
1665.7698630137,26,33935
1665.78904109589,27,28654
1665.80821917808,28,17431
1665.82739726027,29,9570
1665.84657534247,30,7606
1665.86575342466,31,9534
1665.88493150685,32,6755
1665.90410958904,33,3185
1665.92328767123,34,3431
1665.94246575342,35,1509
1665.96164383562,36,1739
1665.98082191781,37,1838
1666,38,982
1666.01917808219,39,509
1666.03835616438,40,692
1666.05753424658,41,1027
1666.07671232877,42,530
1666.09589041096,43,388
1666.11506849315,44,371
1666.13424657534,45,423
1666.15342465753,46,456
1666.17260273973,47,280
1666.19178082192,48,197
1666.21095890411,49,207
1666.2301369863,50,215
1666.24931506849,51,128
1666.26849315068,52,184
1666.28767123288,53,209
1666.30684931507,54,270
1666.32602739726,55,185
1666.34520547945,56,300
1666.36438356164,57,383
1666.38356164384,58,386
1666.40273972603,59,212
1666.42191780822,60,147
1666.44109589041,61,192
1666.4602739726,62,203
1666.47945205479,63,172
1666.49863013699,64,239
1666.51780821918,65,243
1666.53698630137,66,249
1666.55616438356,67,355
1666.57534246575,68,333
1666.59452054795,69,276
1666.61369863014,70,300
1666.63287671233,71,331
1666.65205479452,72,288
1666.67123287671,73,214
1666.6904109589,74,240
1666.7095890411,75,240
1666.72876712329,76,237
1666.74794520548,77,209
1666.76712328767,78,151
1666.78630136986,79,102
1666.80547945205,80,160
1666.82465753425,81,110
1666.84383561644,82,94
1666.86301369863,83,63
1666.88219178082,84,25
1666.90136986301,85,49
1666.92054794521,86,44
1666.9397260274,87,16
1666.95890410959,88,27
